"MonitoringLocationIdentifier","Reason","ReasonType","FLAG"
"UTAHDWQ_WQX-4955426","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09277500","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4956003","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4956016","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4956402","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09279150","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09285900","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09288180","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4985490","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4990340","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4990720","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09294500","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09295100","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992050","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992055","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992070","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992100","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992140","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992154","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992155","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992156","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992157","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992159","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09302000","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992161","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09306500","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992290","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992560","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992570","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09310700","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992710","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4992727","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09312600","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4993793","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4993795","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4993892","One or more sites w/in 100 m","Spatial","REVIEW"
"11NPSWRD_WQX-ARCH_3P_5995240","One or more sites w/in 100 m","Spatial","REVIEW"
"11NPSWRD_WQX-TICA_3P_HCL","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4994720","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4994730","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09326500","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4994970","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4995400","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4995401","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4995405","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4995408","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4995452","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09330000","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4995690","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4995710","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4995720","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4995730","One or more sites w/in 100 m","Spatial","REVIEW"
"11NPSWRD_WQX-TICA_3P_MCP","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09337000","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4996281","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4996284","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4998115","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4998400","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09381800","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09403600","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5910280","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5910283","One or more sites w/in 100 m","Spatial","REVIEW"
"11NPSWRD_WQX-TICA_3P_MCVA","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09406000","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5913520","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5917610","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5917620","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5917622","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5917624","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5917626","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5918880","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09408150","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-09408400","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5931480","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5931760","One or more sites w/in 100 m","Spatial","REVIEW"
"11NPSWRD_WQX-ZION_3P_4950800","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5936070","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5936074","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5937665","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5937730","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5940210","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5940440","One or more sites w/in 100 m","Spatial","REVIEW"
"11NPSWRD_WQX-ZION_3P_4950920","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10011500","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5949940","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5949950","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10105900","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5951004","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10118000","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5952774","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5952782","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5952784","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10125600","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5952826","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5952827","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5952829","One or more sites w/in 100 m","Spatial","REVIEW"
"11NPSWRD_WQX-ZION_3P_4951199","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5987000","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10129500","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10129900","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5995240","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5995246","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-5995700","One or more sites w/in 100 m","Spatial","REVIEW"
"11NPSWRD_WQX-ZION_3P_GROTTO","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHGS-384113109391001","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHGS-400045110002901","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10131000","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHGS-402050112330201","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHGS-402311111251401","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10132000","One or more sites w/in 100 m","Spatial","REVIEW"
"UTEMTN-Cow Camp Spring","One or more sites w/in 100 m","Spatial","REVIEW"
"UTEMTN-MILL_SPG_NW","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10134500","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10141000","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10142000","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10149000","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10149400","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10154200","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10155000","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10157500","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10171000","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10171000","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10172200","One or more sites w/in 100 m","Spatial","REVIEW"
"11NPSWRD_WQX-ARCH_3P_5995245","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10174500","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10219000","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10234500","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-10237000","One or more sites w/in 100 m","Spatial","REVIEW"
"952307_WQX-4933476","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-370737113221301","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-371045113233901","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-371118113160601","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-371118113160901","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-371120113160401","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-371125113162501","One or more sites w/in 100 m","Spatial","REVIEW"
"952307_WQX-4937020","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-371529112564801","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-371542113062401","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-371705112565001","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-373417112120401","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-373428112082801","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-373907113313701","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-373908113313701","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-373908113313901","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-373908113314101","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-373909113314201","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-374748111244401","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-381712111144601","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-381719111140601","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-383021109393401","One or more sites w/in 100 m","Spatial","REVIEW"
"11NPSWRD_WQX-ARCH_3P_5995250","One or more sites w/in 100 m","Spatial","REVIEW"
"952307_WQX-Unnamed Spring 2","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-383646109344701","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-384024109382301","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-384117109391801","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-400806110133200","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-400926110241800","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-401016110181100","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-402050112330201","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-402615111423901","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-402617111423801","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-402744110500001","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-402746110500001","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-402937110504601","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404359111552401","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404403111552401","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404413111552701","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404420111552001","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404420111552002","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404429111550801","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404430111550501","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404430111551001","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404431111550501","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404434111550701","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404435111550601","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404436111550601","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404438111550501","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404438111551301","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404439111550701","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404439111551101","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404440111551601","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404456111551301","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404457111551001","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404459111551001","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404459111551601","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404459111551801","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404507111551701","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404508111551801","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404510111552001","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-404511111552301","One or more sites w/in 100 m","Spatial","REVIEW"
"11NPSWRD_WQX-BRCA_3P_4951855","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-405440111554101","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-413203112033301","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-413511112070701","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-413537112074301","One or more sites w/in 100 m","Spatial","REVIEW"
"11NPSWRD_WQX-BRCA_3P_4951857","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-413936112051101","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-413936112051201","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-414151112094201","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-414246112070101","One or more sites w/in 100 m","Spatial","REVIEW"
"NTHRNUTE-401016110181100","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-414430112083601","One or more sites w/in 100 m","Spatial","REVIEW"
"NTHRNUTE-402937110504601","One or more sites w/in 100 m","Spatial","REVIEW"
"USGS-415834112125801","One or more sites w/in 100 m","Spatial","REVIEW"
"NTHRNUTE-9261000","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4901170","One or more sites w/in 100 m","Spatial","REVIEW"
"NTHRNUTE-9272400","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4901460","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4901730","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4901980","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4902000","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4902700","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4902840","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4902900","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4902940","One or more sites w/in 100 m","Spatial","REVIEW"
"NTHRNUTE-9295100","One or more sites w/in 100 m","Spatial","REVIEW"
"NTHRNUTE-9302000","One or more sites w/in 100 m","Spatial","REVIEW"
"NTHRNUTE-9306500","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4905670","One or more sites w/in 100 m","Spatial","REVIEW"
"NTHRNUTE-ACR","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4908146","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4908148","One or more sites w/in 100 m","Spatial","REVIEW"
"NTHRNUTE-IDR","One or more sites w/in 100 m","Spatial","REVIEW"
"11NPSWRD_WQX-CANY_3P_4956290","One or more sites w/in 100 m","Spatial","REVIEW"
"NTHRNUTE-SSD","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4909851","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4920050","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4921103","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4922696","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4922697","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4922698","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4925150","One or more sites w/in 100 m","Spatial","REVIEW"
"OST_SHPD-NRSA1314-UTR9-0903","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4926050","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4926060","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4926070","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4926140","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4926350","One or more sites w/in 100 m","Spatial","REVIEW"
"UTAHDWQ_WQX-4931080","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4931085","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4935430","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4936055","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4936148","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4937202","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4937240","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4937555","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4937557","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4942303","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4942305","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4942318","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4954853","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4954855","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4954868","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4990102","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4990230","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4990235","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4990335","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4990688","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"11NPSWRD_WQX-TICA_3P_HCL","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4994964","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4994966","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4995506","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"11NPSWRD_WQX-TICA_3P_MCP","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"11NPSWRD_WQX-TICA_3P_MCVA","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-5919812","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-5923330","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-5923340","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-5923345","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-5938061","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-5958011","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-5996640","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"USGS-371507113462201","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"NALMS-5826","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"NALMS-5828","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"NALMS-5836","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"NALMS-5837","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"NALMS-5841","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"NALMS-7218","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"USGS-405440111554101","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"USGS-411202112112501","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4907040","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4907072","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4907085","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"NTHRNUTE-UBH","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4924733","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
"UTAHDWQ_WQX-4924735","MLID type is lake/reservoir, but AU_Type is not - potential new AU needed","Spatial","REVIEW"
