BEN_CLASS,IR_MLID,IR_MLNAME,IR_Lat,IR_Long,ASSESS_ID,AU_NAME,R3172ParameterName,BeneficialUse,AssessCat
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0034,Flaming Gorge-Green River- Nr Cedar Springs Boat Marina,40.916795,-109.448472,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0034,Flaming Gorge-Green River- Nr Cedar Springs Boat Marina,40.916795,-109.448472,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0034,Flaming Gorge-Green River- Nr Cedar Springs Boat Marina,40.916795,-109.448472,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0219,Flaming Gorge-Green River- Red Canyon at Eagle Creek,40.894456,-109.576231,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0219,Flaming Gorge-Green River- Red Canyon at Eagle Creek,40.894456,-109.576231,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0219,Flaming Gorge-Green River- Red Canyon at Eagle Creek,40.894456,-109.576231,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0219,Flaming Gorge-Green River- Red Canyon at Eagle Creek,40.894456,-109.576231,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0331,Flaming Gorge-Green River Near Hideout Campground,40.944233,-109.639327,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0331,Flaming Gorge-Green River Near Hideout Campground,40.944233,-109.639327,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0331,Flaming Gorge-Green River Near Hideout Campground,40.944233,-109.639327,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0331,Flaming Gorge-Green River Near Hideout Campground,40.944233,-109.639327,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0484,Flaming Gorge-Green River off Antelope Point,40.982924,-109.569902,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0484,Flaming Gorge-Green River off Antelope Point,40.982924,-109.569902,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0484,Flaming Gorge-Green River off Antelope Point,40.982924,-109.569902,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGGR0484,Flaming Gorge-Green River off Antelope Point,40.982924,-109.569902,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGHF-044,Flaming Gorge-Henry's Fork- RKM 4.4,40.973961,-109.606348,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGHF-044,Flaming Gorge-Henry's Fork- RKM 4.4,40.973961,-109.606348,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGHF-044,Flaming Gorge-Henry's Fork- RKM 4.4,40.973961,-109.606348,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGHF-044,Flaming Gorge-Henry's Fork- RKM 4.4,40.973961,-109.606348,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGSC-025,Flaming Gorge-Sheeps Creek Bay,40.9304,-109.66048,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGSC-025,Flaming Gorge-Sheeps Creek Bay,40.9304,-109.66048,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGSC-025,Flaming Gorge-Sheeps Creek Bay,40.9304,-109.66048,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-FGSC-025,Flaming Gorge-Sheeps Creek Bay,40.9304,-109.66048,UT-L-14040106-021_00,Flaming Gorge Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-JR-Dam,Jordenelle at Dam,40.5988,-111.419,UT-L-16020203-003_00,Jordanelle Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-JR-Dam,Jordenelle at Dam,40.5988,-111.419,UT-L-16020203-003_00,Jordanelle Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-JR-Dam,Jordenelle at Dam,40.5988,-111.419,UT-L-16020203-003_00,Jordanelle Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-JR-Dam,Jordenelle at Dam,40.5988,-111.419,UT-L-16020203-003_00,Jordanelle Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-JR-MARINA,Jordenelle Marina,40.6245,-111.415,UT-L-16020203-003_00,Jordanelle Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-JR-MARINA,Jordenelle Marina,40.6245,-111.415,UT-L-16020203-003_00,Jordanelle Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-JR-MARINA,Jordenelle Marina,40.6245,-111.415,UT-L-16020203-003_00,Jordanelle Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-JR-MARINA,Jordenelle Marina,40.6245,-111.415,UT-L-16020203-003_00,Jordanelle Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-JR-Provo,Jordenelle Provo Riv Inflow,40.6029,-111.388,UT-L-16020203-003_00,Jordanelle Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-JR-Provo,Jordenelle Provo Riv Inflow,40.6029,-111.388,UT-L-16020203-003_00,Jordanelle Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-JR-Provo,Jordenelle Provo Riv Inflow,40.6029,-111.388,UT-L-16020203-003_00,Jordanelle Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-JR-Provo,Jordenelle Provo Riv Inflow,40.6029,-111.388,UT-L-16020203-003_00,Jordanelle Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-PV-Dam,Pineview at Dam,41.256673,-111.835626,UT-L-16020102-014_00,Pineview Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-PV-Dam,Pineview at Dam,41.256673,-111.835626,UT-L-16020102-014_00,Pineview Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-PV-Dam,Pineview at Dam,41.256673,-111.835626,UT-L-16020102-014_00,Pineview Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-PV-Dam,Pineview at Dam,41.256673,-111.835626,UT-L-16020102-014_00,Pineview Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-PV-North,Pineview North Arm,41.267309,-111.810928,UT-L-16020102-014_00,Pineview Reservoir,pH,1C,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-PV-North,Pineview North Arm,41.267309,-111.810928,UT-L-16020102-014_00,Pineview Reservoir,pH,2A,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-PV-North,Pineview North Arm,41.267309,-111.810928,UT-L-16020102-014_00,Pineview Reservoir,pH,3A,NA
"1C,2A,3A,4",UC_REGION_USBOR_WQX-PV-North,Pineview North Arm,41.267309,-111.810928,UT-L-16020102-014_00,Pineview Reservoir,pH,4,FS
"1C,2A,3A,4",UC_REGION_USBOR_WQX-PV-South,Pineview South Arm,41.257508,-111.792278,UT-L-16020102-014_00,Pineview Reservoir,pH,1C,FS
